customer_name,customer_email,items
Customer 1,customer1@example.com,"1:2,3:1"
Customer 2,customer2@example.com,"2:3"
Customer 3,customer3@example.com,"1:1,4:2"
Customer 4,customer4@example.com,"5:2"
Customer 5,customer5@example.com,"3:1,2:2"
Customer 6,customer6@example.com,"1:1"
Customer 7,customer7@example.com,"4:1,5:1"
Customer 8,customer8@example.com,"2:2"
Customer 9,customer9@example.com,"1:3"
Customer 10,customer10@example.com,"3:2,4:1"
Customer 11,customer11@example.com,"5:1"
Customer 12,customer12@example.com,"1:2,2:1"
Customer 13,customer13@example.com,"3:1"
Customer 14,customer14@example.com,"4:2"
Customer 15,customer15@example.com,"1:1,5:1"
Customer 16,customer16@example.com,"2:1"
Customer 17,customer17@example.com,"3:2"
Customer 18,customer18@example.com,"1:1,4:2"
Customer 19,customer19@example.com,"5:2"
Customer 20,customer20@example.com,"2:3"
Customer 21,customer21@example.com,"3:1"
Customer 22,customer22@example.com,"1:2,5:1"
Customer 23,customer23@example.com,"4:1"
Customer 24,customer24@example.com,"2:2,3:1"
Customer 25,customer25@example.com,"1:1"
Customer 26,customer26@example.com,"5:2"
Customer 27,customer27@example.com,"3:1"
Customer 28,customer28@example.com,"2:1,4:1"
Customer 29,customer29@example.com,"1:2"
Customer 30,customer30@example.com,"3:1,5:1"
Customer 31,customer31@example.com,"4:1"
Customer 32,customer32@example.com,"1:1,2:2"
Customer 33,customer33@example.com,"3:1"
Customer 34,customer34@example.com,"5:1"
Customer 35,customer35@example.com,"1:1,4:2"
Customer 36,customer36@example.com,"2:1"
Customer 37,customer37@example.com,"3:2"
Customer 38,customer38@example.com,"1:1,5:1"
Customer 39,customer39@example.com,"4:2"
Customer 40,customer40@example.com,"2:2"
Customer 41,customer41@example.com,"3:1"
Customer 42,customer42@example.com,"1:2"
Customer 43,customer43@example.com,"5:1"
Customer 44,customer44@example.com,"2:1,4:1"
Customer 45,customer45@example.com,"1:1,3:1"
Customer 46,customer46@example.com,"4:2"
Customer 47,customer47@example.com,"2:1"
Customer 48,customer48@example.com,"1:1,5:2"
Customer 49,customer49@example.com,"3:1"
Customer 50,customer50@example.com,"1:2,4:1"
